PMID,assigned?,rule_based,Haley,,Peng Yu,Karthik,Chenwei,Xiaohuan,Yi Weng
28607124,notass,NA,N,Placental Vesicles Carry Active Endothelial Nitric Oxide Synthase and Their Activity is Reduced in Preeclampsia.,,N,,,N
28607588,notass,NA,N,Isolation and Identification of miRNAs in exosomes derived from serum of colon cancer patients.,,N,,,N
28610892,notass,NA,N,Novel human neuronal tau model exhibiting neurofibrillary tangles and transcellular propagation.,,N,,,N
28615713,notass,NA,N,Exosomal microRNAs in giant panda (Ailuropoda melanoleuca) breast milk: potential maternal regulators for the development of newborn cubs.,,N,,,Y
28618037,notass,NA,N,Hydrogen Peroxide Stimulates Exosomal Cathepsin B Regulation of the Receptor for Advanced Glycation End-Products (RAGE).,,N,,,N
28619525,notass,No,N,Murine and human pancreatic tumor exosome recovery in mouse serum: Diagnostic and prognostic potential and target cell delivery.,,N,,,N
28622272,notass,NA,Y,NK Cell-derived Exosomes From NK Cells Previously Exposed to Neuroblastoma Cells Augment the Antitumor Activity of Cytokine-activated NK Cells.,,Y,,,Y
28623135,notass,Yes,Y,Serum long non coding RNA MALAT-1 protected by exosomes is up-regulated and promotes cell proliferation and migration in non-small cell lung cancer.,,Y,,,N
28623272,notass,Yes,Y,Exosomes derived from palmitic acid-treated hepatocytes induce fibrotic activation of hepatic stellate cells.,Y,Y,,,Y
28627754,notass,NA,N,Labeling and Magnetic Resonance Imaging of Exosomes Isolated from Adipose Stem Cells.,,N,,,N
28630660,notass,No,N,NPC-EXs Alleviate Endothelial Oxidative Stress and Dysfunction through the miR-210 Downstream Nox2 and VEGFR2 Pathways.,,N,,,N
28631889,notass,NA,Y,MicroRNA-containing extracellular vesicles released from endothelial colony-forming cells modulate angiogenesis during ischaemic retinopathy.,,Y,,,Y
28634420,notass,NA,N,Characterization of the Proinflammatory Profile of Synovial Fluid-Derived Exosomes of Patients with Osteoarthritis.,,N,,,N
28636406,notass,NA,Y,Protective Effect of Intravitreal Administration of Exosomes Derived from Mesenchymal Stem Cells on Retinal Ischemia.,,Y,,,Y
28637233,notass,NA,N*,Identification of exosomal muscle-specific miRNAs in serum of myotonic dystrophy patients relating to muscle disease progress.,,N,,,N
28641008,notass,Yes,N,"Hypoxia-Induced Changes in the Fibroblast Secretome, Exosome, and Whole-Cell Proteome Using Cultured, Cardiac-Derived Cells Isolated from Neonatal Mice.",,N,,,N
28642329,notass,NA,N,Experimental and Computational Insight Into Human Mesenchymal Stem Cell Paracrine Signaling and Heterocellular Coupling Effects on Cardiac Contractility and Arrhythmogenicity.,,N,,,N
28643865,notass,NA,N,Characterization and biological function of milk-derived miRNAs.,,N,,,N
28643872,notass,NA,N,Circulating microRNA as candidates for early embryonic viability in cattle.,,N,,,N
28643914,notass,No,N,The use of cell culture platforms to identify novel markers of bone and dentin resorption.,,N,,,N
28643940,notass,NA,N,Proteomic profiling of extracellular vesicles secreted from Toxoplasma gondii.,,N,,,N
28646161,notass,No,N,Circulating exosomal miR-125a-3p as a novel biomarker for early-stage colon cancer.,,N,,,N
28646700,notass,No,N,Increased serum miR-7 is a promising biomarker for type 2 diabetes mellitus and its microvascular complications.,N,N,,,N
28649804,notass,Yes,Y,Fibroblast-derived exosomes promote epithelial cell proliferation through TGF-β2 signalling pathway in severe asthma.,Y,Y,,,Y
28650446,notass,Yes,Y,Exosomes from Plasmodium-infected hosts inhibit tumor angiogenesis in a murine Lewis lung cancer model.,,Y,,,Y
28650928,notass,Yes,Y,Circulating Exosomes Isolated from Septic Mice Induce Cardiovascular Hyperpermeability Through Promoting Podosome Cluster Formation.,,Y,,,Y
28656228,notass,Yes,Y,Glioma cells enhance angiogenesis and inhibit endothelial cell apoptosis through the release of exosomes that contain long non-coding RNA CCAT2.,,N,,,Y
28659030,notass,Yes,N,Tongxinluo Inhibits Renal Fibrosis in Diabetic Nephropathy: Involvement of the Suppression of Intercellular Transfer of TGF-[Formula: see text]1-Containing Exosomes from GECs to GMCs.,,N,,,N
28665018,notass,Yes,N,Extracellular vesicles mediate intercellular communication: Transfer of functionally active microRNAs by microvesicles into phagocytes.,,Y,,,Y
28666318,notass,Yes,N,Autologous intramuscular transplantation of engineered satellite cells induces exosome-mediated systemic expression of Fukutin-related protein and rescues disease phenotype in a murine model of limb-girdle muscular dystrophy type 2I.,,N,,,N
28667694,notass,NA,N,Accelerated growth of B16BL6 tumor in mice through efficient uptake of their own exosomes by B16BL6 cells.,,N,,,N
28671449,notass,No,N,Rapid Isolation and Detection of Exosomes and Associated Biomarkers from Plasma.,,N,,,N
28675788,notass,NA,N,Proteomics Profiling of Exosomes from Primary Mouse Osteoblasts under Proliferation versus Mineralization Conditions and Characterization of Their Uptake into Prostate Cancer Cells.,,N,,,N
28678319,notass,NA,N,MiR-146a-5p level in serum exosomes predicts therapeutic effect of cisplatin in non-small cell lung cancer.,,N,,,N
28680152,notass,Yes,Y,Exosomes from metastatic cancer cells transfer amoeboid phenotype to non-metastatic cells and increase endothelial permeability: their emerging role in tumor heterogeneity.,Y,N,,,Y
28680753,notass,NA,N,Efficacy of vaccination with tumor-exosome loaded dendritic cells combined with cytotoxic drug treatment in pancreatic cancer.,,N,,,N
28683561,notass,Yes,N,Reactive Oxygen Species-Mediated Autophagy Defines the Fate of Cancer Stem Cells.,N,N,,,N
28684402,notass,Yes,N,BRAFV600 inhibition alters the microRNA cargo in the vesicular secretome of malignant melanoma cells.,,N,,,N
28687758,notass,NA,N,Directional Exosome Proteomes Reflect Polarity-Specific Functions in Retinal Pigmented Epithelium Monolayers.,,N,,,Y
28688106,notass,NA,N,Human milk exosomes and their microRNAs survive digestion in vitro and are taken up by human intestinal cells.,,N,,,N
28692534,notass,No,N,Blood neuron-derived exosomes as biomarkers of cognitive impairment in HIV.,N,N,,,Y
28694699,notass,Yes,N,Antitumor HPV E7-specific CTL activity elicited by in vivo engineered exosomes produced through DNA inoculation.,,N,,,Y
28699500,notass,No,N,Cell-derived Exosomes as Promising Carriers for Drug Delivery and Targeted Therapy.,,N,,,Y
28699522,notass,NA,N,Targeting Human Astrocytes' Calcium-sensing Receptors for Treatment of Alzheimer's Disease.,,N,,,N
28701751,notass,NA,N,Secretome of in vitro cultured human embryos contains extracellular vesicles that are uptaken by the maternal side.,,N,,,N
28707321,notass,NA,N,Expansion of BCR/ABL1+ cells requires PAK2 but not PAK1.,,N,,,N
28708510,notass,NA,N,Changes in localization and density of CD63-positive exosome-like substances in the hen oviduct with artificial insemination and their effect on sperm viability.,,N,,,N
28709002,notass,NA,Y,Exosome RNA Unshielding Couples Stromal Activation to Pattern Recognition Receptor Signaling in Cancer.,,Y,,,N
28709644,notass,Yes,N,Horizontal transfer of miR-106a/b from cisplatin resistant hepatocarcinoma cells can alter the sensitivity of cervical cancer cells to cisplatin.,N?,N,,,N
28710381,notass,NA,N,Evaluation and diagnostic potential of circulating extracellular vesicle-associated microRNAs in adrenocortical tumors.,,N,,,N
28717416,notass,NA,N,"Feasibility of urinary extracellular vesicle proteome profiling using a robust and simple, clinically applicable isolation method.",,N,,,N
28722341,notass,NA,N,Proteomic Analysis of Neuroblastoma-Derived Exosomes: New Insights into a Metastatic Signature.,,N,,,N
28723537,notass,No,N,Exosomal MicroRNAs Are Diagnostic Biomarkers and Can Mediate Cell-Cell Communication in Renal Cell Carcinoma.,,N,,,Y
28725021,notass,NA,N*,Bovine milk-derived exosomes from colostrum are enriched with proteins implicated in immune response and growth.,,N,,,N
28729638,notass,Yes,N,Inhibition of microRNA-214 promotes epithelial-mesenchymal transition process and induces interstitial cystitis in postmenopausal women by upregulating Mfn2.,N,N,,,N
28729721,notass,NA,N,Plasma-derived exosome characterization reveals a distinct microRNA signature in long duration Type 1 diabetes.,N,N,,,N
28733371,notass,NA,N,An Mtr4/ZFC3H1 complex facilitates turnover of unstable nuclear RNAs to prevent their cytoplasmic transport and global translational repression.,N,N,,,N
28737826,notass,NA,N,Comparison of isolation methods of exosomes and exosomal RNA from cell culture medium and serum.,,N,,,N
28740179,notass,NA,N,Legionella pneumophila infection activates bystander cells differentially by bacterial and host cell vesicles.,,N,,,N
28740388,notass,NA,N,Role of TIM-4 in exosome-dependent entry of HIV-1 into human immune cells.,,N,,,N
28741069,notass,NA,Y,MicroRNA-100 shuttled by mesenchymal stem cell-derived exosomes suppresses in vitro angiogenesis through modulating the mTOR/HIF-1α/VEGF signaling axis in breast cancer cells.,,Y,,,Y
28743280,notass,No,Y,Exosomes derived from gemcitabine-resistant cells transfer malignant phenotypic traits via delivery of miRNA-222-3p.,,N,,,Y
28743887,notass,Yes,Y,Tumor-Derived Exosomes Induce the Formation of Neutrophil Extracellular Traps: Implications For The Establishment of Cancer-Associated Thrombosis.,Y,Y,,,Y
28751214,notass,NA,N,Glycan profiling analysis using evanescent-field fluorescence-assisted lectin array: Importance of sugar recognition for cellular uptake of exosomes from mesenchymal stem cells.,,N,,,N
28754746,notass,NA,Y,Tumor-derived exosomes modulate PD-L1 expression in monocytes.,,Y,,,Y
28762264,notass,No,N,Chemically Edited Exosomes with Dual Ligand Purified by Microfluidic Device for Active Targeted Drug Delivery to Tumor Cells.,,N,,,N
28762517,notass,NA,N,Immunoaffinity based methods are superior to kits for purification of prostate derived extracellular vesicles from plasma samples.,,N,,,N
28766848,notass,Yes,N,MicroRNA-30a ameliorates hepatic fibrosis by inhibiting Beclin1-mediated autophagy.,N,N,,,N
28768999,notass,NA,N,Characterization of Membrane Integrity and Morphological Stability of Human Salivary Exosomes.,N,N,,,N
28771796,notass,Yes,Y,Curcumin primed exosomes reverses LPS-induced pro-inflammatory gene expression in buffalo granulosa cells.,,Y,,,Y
28780902,notass,,N,Emerging MS-based platforms for the characterization of tumor-derived exosomes isolated from human biofluids: challenges and promises of MudPIT.,,,,,
28781215,notass,NA,Y,Adipose-Derived Stem Cell-Derived Exosomes Ameliorate Erectile Dysfunction in a Rat Model of Type 2 Diabetes.,,Y,,,Y
28781655,notass,Yes,Y*,HCV-E2 inhibits hepatocellular carcinoma metastasis by stimulating mast cells to secrete exosomal shuttle microRNAs.,Y,N,,,N
28791708,notass,Yes,Y,Exosomal DNMT1 mediates cisplatin resistance in ovarian cancer.,Y,Y,,,N
28797930,notass,Yes,N,γ-Tocotrienol-induced disruption of lipid rafts in human breast cancer cells is associated with a reduction in exosome heregulin content.,,N,,,N
28804599,notass,NA,N,Circulating exosome microRNA associated with heart failure secondary to myxomatous mitral valve disease in a naturally occurring canine model.,,N,,,N
28805297,notass,Yes,Y,Mesenchymal stem cells deliver exogenous miR-21 via exosomes to inhibit nucleus pulposus cell apoptosis and reduce intervertebral disc degeneration.,,Y,,,N
28806909,notass,Yes,Y,Tumor-derived exosomes induce CD8+ T cell suppressors.,Y,Y,,,Y
28807034,notass,NA,Y,Exosomes from embryonic mesenchymal stem cells alleviate osteoarthritis through balancing synthesis and degradation of cartilage extracellular matrix.,,Y,,,Y
28815003,notass,NA,N,Glioblastoma stem-like cells secrete the pro-angiogenic VEGF-A factor in extracellular vesicles.,,N,,,N
28817685,notass,NA,N,Clinical implications of carcinoembryonic antigen distribution in serum exosomal fraction-Measurement by ELISA.,,N,,,N
28817816,notass,Yes,Y,Exosomes Derived from Human Bone Marrow Mesenchymal Stem Cells Promote Tumor Growth Through Hedgehog Signaling Pathway.,,Y,,,Y
28819459,notass,NA,Y,Exosomes Derived From Natural Killer Cells Exert Therapeutic Effect in Melanoma.,,Y,,,Y
28819549,notass,NA,N,Metastatic state of parent cells influences the uptake and functionality of prostate cancer cell-derived extracellular vesicles.,,N,,,N
28819550,notass,NA,N,Effects of storage temperature on airway exosome integrity for diagnostic and functional analyses.,,N,,,N
28823103,notass,NA,N,Bariatric Surgery Is Accompanied by Changes in Extracellular Vesicle-Associated and Plasma Fatty Acid Binding Protein 4.,,N,,,N
28826183,notass,NA,N,Increased Release of Apolipoprotein E in Extracellular Vesicles Following Amyloid-β Protofibril Exposure of Neuroglial Co-Cultures.,N,N,,,N
28828643,notass,,,Extracellular Vesicles: A Brief Overview and Its Role in Precision Medicine.,,,,,
28828648,notass,NA,N,Filter-Based Extracellular Vesicle mRNA Isolation and High-Throughput Gene Expression Analysis.,,N,,,N
28828651,notass,NA,N,Size Exclusion Chromatography: A Simple and Reliable Method for Exosome Purification.,,N,,,N
28828652,notass,NA,N,Purification Protocols for Extracellular Vesicles.,,N,,,N
28828657,notass,NA,N,Characterization of Extracellular Vesicles by Size-Exclusion High-Performance Liquid Chromatography (HPLC).,,N,,,N
28828661,notass,NA,N,Imaging of Isolated Extracellular Vesicles Using Fluorescence Microscopy.,,N,,,N
28828662,notass,NA,N,In Vivo Tracking of Extracellular Vesicles in Mice Using Fusion Protein Comprising Lactadherin and Gaussia Luciferase.,,N,,,N
28828666,notass,NA,N,Rapid Isolation of Extracellular Vesicles from Blood Plasma with Size-Exclusion Chromatography Followed by Mass Spectrometry-Based Proteomic Profiling.,,N,,,N
28828667,notass,NA,N,An Adaptable Polyethylene Glycol-Based Workflow for Proteomic Analysis of Extracellar Vesicles.,,N,,,N
28828672,notass,Yes,N,Electric Field-Induced Disruption and Releasing Viable Content from Extracellular Vesicles.,,N,,,N
28828675,notass,No,N,The Use of Peripheral Extracellular Vesicles for Identification of Molecular Biomarkers in a Solid Tumor Mouse Model.,,N,,,Y
28837697,notass,Yes,N,Herpesviruses shape tumour microenvironment through exosomal transfer of viral microRNAs.,,N,,,N
28840975,notass,Yes,Y,Cardioprotection mediated by exosomes is impaired in the setting of type II diabetes but can be rescued by the use of non-diabetic exosomes in vitro.,Y,Y,,,Y
28841829,notass,Yes,Y,Hypoxic exosomes facilitate bladder tumor growth and development through transferring long non-coding RNA-UCA1.,,Y,,,Y
28842467,notass,NA,N,Role of Lymphocyte Subsets in the Immune Response to Primary B Cell-Derived Exosomes.,,N,,,N
28843722,notass,NA,N,Macrophage cell-derived exosomes/staphylococcal enterotoxin B against fibrosarcoma tumor.,,N,,,Y
28847700,notass,Yes,Y*,The HBx gene of hepatitis B virus can influence hepatic microenvironment via exosomes by transferring its mRNA and protein.,Y,N,,,N
28848091,notass,No,Y,Exosomes Derived from Mesenchymal Stem Cells Rescue Myocardial Ischaemia/Reperfusion Injury by Inducing Cardiomyocyte Autophagy Via AMPK and Akt Pathways.,,Y,,,Y
28849236,notass,Yes,Y,Upregulated exosomic miR‑23b‑3p plays regulatory roles in the progression of pancreatic cancer.,Y,Y,,,N
28850588,notass,NA,N,New evidence that a large proportion of human blood plasma cell-free DNA is localized in exosomes.,,N,,,N
28851650,notass,Yes,Y,Exosomes expressing carbonic anhydrase 9 promote angiogenesis.,,Y,,,Y
28853608,notass,NA,Y,Mesenchymal Stromal Cell Exosomes Ameliorate Experimental Bronchopulmonary Dysplasia and Restore Lung Function through Macrophage Immunomodulation.,,Y,,,Y
28854931,notass,Yes,Y,Exosomes isolated from cancer patients' sera transfer malignant traits and confer the same phenotype of primary tumors to oncosuppressor-mutated cells.,,Y*,,,Y
28855213,notass,Yes,Y,Exosomes from Glioma-Associated Mesenchymal Stem Cells Increase the Tumorigenicity of Glioma Stem-like Cells via Transfer of miR-1587.,Y,Y,,,Y
28855278,notass,Yes,Y,Exosomes in postshock mesenteric lymph are key mediators of acute lung injury triggering the macrophage activation via Toll-like receptor 4.,,Y,,,Y
28855522,notass,NA,N,Separation of extracellular nanovesicles and apoptotic bodies from cancer cell culture broth using tunable microfluidic systems.,,N,,,N
28858636,notass,No,N,Damage-Associated molecular pattern markers HMGB1 and cell-Free fetal telomere fragments in oxidative-Stressed amnion epithelial cell-Derived exosomes.,,N,,,N
28859135,notass,NA,N,Identification of miR-16 as an endogenous reference gene for the normalization of urinary exosomal miRNA expression data from CKD patients.,,N,,,N
28859242,notass,Yes,N,Selective release of miRNAs via extracellular vesicles is associated with house-dust mite allergen-induced airway inflammation.,,N,,,N
28859292,notass,Yes,Y,Exosomes secreted by cardiomyocytes subjected to ischaemia promote cardiac angiogenesis.,Y,Y,,,Y
28859399,notass,Yes,Y,Microvesicles released during the interaction between Trypanosoma cruzi TcI and TcII strains and host blood cells inhibit complement system and increase the infectivity of metacyclic forms of host cells in a strain-independent process.,Y,Y,,,Y
28860826,notass,Yes,Y,miRNA-221 of exosomes originating from bone marrow mesenchymal stem cells promotes oncogenic activity in gastric cancer.,Y,Y,,,Y
28862274,notass,NA,N,High-purity capture and release of circulating exosomes using an exosome-specific dual-patterned immunofiltration (ExoDIF) device.,,N,,,N
28865856,notass,NA,Y,Effect of exosomes from plasma of dairy cows with or without an infected uterus on prostaglandin production by endometrial cell lines.,,Y,,,Y
28866771,notass,NA,N,Atomic force microscopy analysis of extracellular vesicles.,,N,,,N
28877384,notass,Yes,Y,Exosomes secreted from mutant-HIF-1α-modified bone-marrow-derived mesenchymal stem cells attenuate early steroid-induced avascular necrosis of femoral head in rabbit.,,Y,,,Y
28881619,notass,NA,N,mRNA in exosomas as a liquid biopsy in non-Hodgkin Lymphoma: a multicentric study by the Spanish Lymphoma Oncology Group.,,N,,,N
28882869,notass,Yes,Y,Extracellular Vesicles Secreted by Atherogenic Macrophages Transfer MicroRNA to Inhibit Cell Migration.,,Y,,,Y
28883474,notass,Yes,Y,Plasma exosomal miR-223 expression regulates inflammatory responses during cardiac surgery with cardiopulmonary bypass.,,Y,,,Y
28885548,notass,NA,N,Novel Insights into the Adipokinome of Obese and Obese/Diabetic Mouse Models.,,N,,,N
28888912,notass,Yes,Y,Chemotherapy induces secretion of exosomes loaded with heparanase that degrades extracellular matrix and impacts tumor and host cell behavior.,,Y,,,N
28893927,notass,Yes,N,Mutant Huntingtin Inhibits αB-Crystallin Expression and Impairs Exosome Secretion from Astrocytes.,N,N,,,N
28895255,notass,Yes,Y,UBR2 Enriched in p53 Deficient Mouse Bone Marrow Mesenchymal Stem Cell-Exosome Promoted Gastric Cancer Progression via Wnt/β-Catenin Pathway.,,Y,,,Y
28895404,notass,NA,N,Exosomes of human mesenchymal stem/stromal/medicinal signaling cells.,,N,,,N
28899687,notass,NA,Y,Proteomic Profiling of Sweat Exosome Suggests its Involvement in Skin Immunity.,,N,,,Y
28901485,notass,Yes,Y,A novel non‑contact communication between human keratinocytes and T cells: Exosomes derived from keratinocytes support superantigen‑induced proliferation of resting T cells.,,N,,,Y
28910400,notass,Yes,Y,Exosome-mediated miR-146a transfer suppresses type I interferon response and facilitates EV71 infection.,,Y,,,Y
28910982,notass,Yes,Y,Exosomes containing miR-21 transfer the characteristic of cisplatin resistance by targeting PTEN and PDCD4 in oral squamous cell carcinoma.,,Y,,,Y
28912528,notass,NA,Y,Extracellular vesicles derived from T regulatory cells suppress T cell proliferation and prolong allograft survival.,Y,Y,,,Y
28914500,notass,NA,N,Comprehensive proteomics analysis of exosomes derived from human seminal plasma.,N,N,,,N
28918518,notass,NA,N,Micro-RNA Profiling of Exosomes from Marrow-Derived Mesenchymal Stromal Cells in Patients with Acute Myeloid Leukemia: Implications in Leukemogenesis.,N,N,,,N
28919558,notass,Yes,N,Cellular uptake of extracellular vesicles is mediated by clathrin-independent endocytosis and macropinocytosis.,N,Y,,,N
28919985,notass,Yes,Y,Human tumor-derived exosomes (TEX) regulate Treg functions via cell surface signaling rather than uptake mechanisms.,Y,Y,,,Y
28920705,notass,NA,Y,Human Endothelial Progenitor Cell-Derived Exosomes Increase Proliferation and Angiogenesis in Cardiac Fibroblasts by Promoting the Mesenchymal-Endothelial Transition and Reducing High Mobility Group Box 1 Protein B1 Expression.,Y,Y,,,Y
28923936,notass,NA,N,Isolation of exosomes from whole blood by integrating acoustics and microfluidics.,N,N,,,N
28928845,notass,NA,Y,Exosomes derived from bone marrow stromal cells decrease the sensitivity of leukemic cells to etoposide.,Y,Y,,,Y
28929578,notass,Yes,N*,Horizontal transfer of miR-23a from hypoxic tumor cell colonies can induce angiogenesis.,N*,N,,,N
28930577,notass,NA,N,Exosome enrichment by ultracentrifugation and size exclusion chromatography.,N,N,,,N
28933629,notass,Yes,N,Ezetimibe ameliorates steatohepatitis via AMP activated protein kinase-TFEB-mediated activation of autophagy and NLRP3 inflammasome inhibition.,N,N,,,N
28934733,notass,Yes,Y,Exosomes from Human-Induced Pluripotent Stem Cell-Derived Mesenchymal Stromal Cells (hiPSC-MSCs) Protect Liver against Hepatic Ischemia/ Reperfusion Injury via Activating Sphingosine Kinase and Sphingosine-1-Phosphate Signaling Pathway.,Y,Y,,,Y
28935818,notass,Yes,Y,Increased miR-124-3p in microglial exosomes following traumatic brain injury inhibits neuronal inflammation and contributes to neurite outgrowth via their transfer into neurons.,Y*,Y,,,N
28936252,notass,No,N,Protein Complexes in Urine Interfere with Extracellular Vesicle Biomarker Studies.,N,N,,,N
28936259,notass,NA,N,The Role of Isolation Methods on a Nanoscale Surface Structure and its Effect on the Size of Exosomes.,,N,,,N
28936266,notass,NA,N,A novel method for the isolation of extracellular vesicles and RNA from urine.,,N,,,N
28938555,notass,NA,N,Exosomes of invasive urothelial carcinoma cells are characterized by a specific miRNA expression signature.,,N,,,N
28942920,notass,NA,Y,Adipose Tissue Macrophage-Derived Exosomal miRNAs Can Modulate In Vivo and In Vitro Insulin Sensitivity.,,Y,,,Y
28944300,notass,NA,N,Proteomic analysis of extracellular vesicles from a Plasmodium falciparum Kenyan clinical isolate defines a core parasite secretome.,N,N,,,N
28950217,notass,Yes,Y,Breast-cancer extracellular vesicles induce platelet activation and aggregation by tissue factor-independent and -dependent mechanisms.,Y,Y,,,Y
28959207,notass,Yes,Y,Exosomes Derived from Dendritic Cells Treated with Schistosoma japonicum Soluble Egg Antigen Attenuate DSS-Induced Colitis.,Y,Y,,,Y
28962585,notass,NA,Y,Exosomes secreted by stem cells from human exfoliated deciduous teeth contribute to functional recovery after traumatic brain injury by shifting microglia M1/M2 polarization in rats.,Y,Y,,,Y
28963552,notass,Yes,N,Radiation alters the cargo of exosomes released from squamous head and neck cancer cells to promote migration of recipient cells.,,N,,,N
28963969,notass,Yes,Y,Intercellular Resistance to BRAF Inhibition Can Be Mediated by Extracellular Vesicle-Associated PDGFRβ.,,N,,,Y
28964331,notass,NA,N,Characterization of GPCRs in extracellular vesicle (EV).,,N,,,N
28968550,notass,Yes,Y,Esophageal Adenocarcinoma-Derived Extracellular Vesicle MicroRNAs Induce a Neoplastic Phenotype in Gastric Organoids.,,Y,,,Y
28968987,notass,NA,N,Chemotherapy administration to breast cancer patients affects extracellular vesicles thrombogenicity and function.,,N,,,N
28969005,notass,Yes,Y,Pancreatic cancer-derived exosomes promote tumor metastasis and liver pre-metastatic niche formation.,,Y,,,Y
28970251,notass,NA,Y,Exosomes derived from hypoxia-preconditioned mesenchymal stromal cells ameliorate cognitive decline by rescuing synaptic dysfunction and regulating inflammatory responses in APP/PS1 mice.,,Y,,,Y
28974256,notass,NA,Y,Exosomes of human placenta-derived mesenchymal stem cells stimulate angiogenesis.,,Y,,,Y
28977747,notass,No,N,Enhanced Class I Tumor Antigen Presentation via Cytosolic Delivery of Exosomal Cargos by Tumor-Cell-Derived Exosomes Displaying a pH-Sensitive Fusogenic Peptide.,,N,,,Y
28986800,notass,NA,N,Isolation of Exosomes for the Purpose of Protein Cargo Analysis with the Use of Mass Spectrometry.,,N,,,N
28990632,notass,Yes,Y,The use of RGD-engineered exosomes for enhanced targeting ability and synergistic therapy toward angiogenesis.,,Y,,,Y
28992005,notass,NA,N,Characterization of exosomes from body fluids of dairy cows.,,N,,,N
29016843,notass,NA,N,Mesenchymal stem cells as natural biofactories for exosomes carrying miR-124a in the treatment of gliomas.,,N,,,N
29019351,notass,NA,Y,Hot News: Exosomes as New Players in HIV Pathogenesis - New Data from the IAS 2017.,,N,,,Y
29019651,notass,NA,N,Combining Machine Learning and Nanofluidic Technology To Diagnose Pancreatic Cancer Using Exosomes.,,N,,,N
29020403,notass,NA,N,Cardiac and systemic rejuvenation after cardiosphere-derived cell therapy in senescent rats.,,N,,,N
29023592,notass,NA,N,Polymer-based precipitation preserves biological activities of extracellular vesicles from an endometrial cell line.,,N,,,N
29025042,notass,NA,N,Stage-specific follicular extracellular vesicle uptake and regulation of bovine granulosa cell proliferation.,,N,,,Y
29025360,notass,NA,N,Best practice of identification and proteomic analysis of extracellular vesicles in human health and disease.,,N,,,N
29029277,notass,Yes,N,miR-122 Release in Exosomes Precedes Overt Tolvaptan-Induced Necrosis in a Primary Human Hepatocyte Micropatterned Coculture Model.,,N,,,N
29032399,notass,NA,N,Evidence of Extracellular Vesicles Biogenesis and Release in Mouse Embryonic Stem Cells.,,N,,,N
29032812,notass,Yes,N,Matrix vesicles induce calcification of recipient vascular smooth muscle cells through multiple signaling pathways.,,Y,,,N
29035751,notass,Yes,N,Intercellular transfer of pathogenic α-synuclein by extracellular vesicles is induced by the lipid peroxidation product 4-hydroxynonenal.,,N,,,N
29038428,notass,NA,N,Denervation-related alterations and biological activity of miRNAs contained in exosomes released by skeletal muscle fibers.,,Y,,,N
29038531,notass,NA,N,TRPA1-FGFR2 binding event is a regulatory oncogenic driver modulated by miRNA-142-3p.,,N,,,N
29040541,notass,NA,Y,Placental Nano-vesicles Target to Specific Organs and Modulate Vascular Tone In Vivo.,,Y,,,N
29042658,notass,Yes,Y,Exosomes secreted by human adipose mesenchymal stem cells promote scarless cutaneous repair by regulating extracellular matrix remodelling.,,Y,,,Y
29043382,notass,Yes,N,Cell transfer of information via miR-loaded exosomes: a biophysical approach.,,N,,,N
29046635,notass,No,N,miRNA in Circulating Microvesicles as Biomarkers for Age-Related Cognitive Decline.,,N,,,N
29047461,notass,Yes,Y,Hematopoietic stem cell-derived exosomes promote hematopoietic differentiation of mouse embryonic stem cells in vitro via inhibiting the miR126/Notch1 pathway.,,Y,,,Y
29054268,notass,NA,N,Saliva-Exosomics in Cancer: Molecular Characterization of Cancer-Derived Exosomes in Saliva.,,N,,,N
29054369,notass,Yes,N,Exosome is a mechanism of intercellular drug transfer: Application of quantitative pharmacology.,,N,,,Y
29062004,notass,Yes,N,Ethanol Induces Enhanced Vascularization Bioactivity of Endothelial Cell-Derived Extracellular Vesicles via Regulation of MicroRNAs and Long Non-Coding RNAs.,,N,,,N
29063370,notass,No,N,Pathways of production and delivery of hepatocyte exosomes.,,N,,,N
29063674,notass,NA,N,Indirect osteoblast differentiation by liposomal clodronate.,,N,,,N
29066780,notass,No,N,Survival Motor Neuron Protein is Released from Cells in Exosomes: A Potential Biomarker for Spinal Muscular Atrophy.,,N,,,N
29069893,notass,Yes,N,Enhancement of the Intrinsic Peroxidase-Like Activity of Graphitic Carbon Nitride Nanosheets by ssDNAs and Its Application for Detection of Exosomes.,,N,,,N
29073095,notass,NA,N,Broad role for YBX1 in defining the small noncoding RNA composition of exosomes.,,N,,,N
29073103,notass,Yes,Y,Packaging and transfer of mitochondrial DNA via exosomes regulate escape from dormancy in hormonal therapy-resistant breast cancer.,,N,,,Y
29074968,notass,NA,N,Coding and noncoding landscape of extracellular RNA released by human glioma stem cells.,,N,,,N
29076001,notass,No,N,A microRNA signature from serum exosomes of patients with glioma as complementary diagnostic biomarker.,,N,,,N
29076623,notass,NA,Y,Inflammation-Stimulated Mesenchymal Stromal Cell-Derived Extracellular Vesicles Attenuate Inflammation.,,Y,,,Y
29078295,notass,NA,N,Intercellular mRNA trafficking via membrane nanotube-like extensions in mammalian cells.,,N,,,N
29084422,notass,Yes,N,Histological Evaluation of Experimentally Induced Critical Size Defect Skin Wounds Using Exosomal Solution of Mesenchymal Stem Cells Derived Microvesicles.,,N,,,N
29089618,notass,NA,Y,Circulating exosomes carrying an immunosuppressive cargo interfere with cellular immunotherapy in acute myeloid leukemia.,,N,,,Y
29090896,notass,NA,N,The Exosome Total Isolation Chip.,,N,,,N
